target,scan_time,port,open
192.168.0.5,2025-10-24T20:34:41.970186,1,False
192.168.0.5,2025-10-24T20:34:41.970186,2,False
192.168.0.5,2025-10-24T20:34:41.970186,3,False
192.168.0.5,2025-10-24T20:34:41.970186,4,False
192.168.0.5,2025-10-24T20:34:41.970186,5,False
192.168.0.5,2025-10-24T20:34:41.970186,6,False
192.168.0.5,2025-10-24T20:34:41.970186,7,False
192.168.0.5,2025-10-24T20:34:41.970186,8,False
192.168.0.5,2025-10-24T20:34:41.970186,9,False
192.168.0.5,2025-10-24T20:34:41.970186,10,False
192.168.0.5,2025-10-24T20:34:41.970186,11,False
192.168.0.5,2025-10-24T20:34:41.970186,12,False
192.168.0.5,2025-10-24T20:34:41.970186,13,False
192.168.0.5,2025-10-24T20:34:41.970186,14,False
192.168.0.5,2025-10-24T20:34:41.970186,15,False
192.168.0.5,2025-10-24T20:34:41.970186,16,False
192.168.0.5,2025-10-24T20:34:41.970186,17,False
192.168.0.5,2025-10-24T20:34:41.970186,18,False
192.168.0.5,2025-10-24T20:34:41.970186,19,False
192.168.0.5,2025-10-24T20:34:41.970186,20,False
192.168.0.5,2025-10-24T20:34:41.970186,21,False
192.168.0.5,2025-10-24T20:34:41.970186,22,False
192.168.0.5,2025-10-24T20:34:41.970186,23,False
192.168.0.5,2025-10-24T20:34:41.970186,24,False
192.168.0.5,2025-10-24T20:34:41.970186,25,False
192.168.0.5,2025-10-24T20:34:41.970186,26,False
192.168.0.5,2025-10-24T20:34:41.970186,27,False
192.168.0.5,2025-10-24T20:34:41.970186,28,False
192.168.0.5,2025-10-24T20:34:41.970186,29,False
192.168.0.5,2025-10-24T20:34:41.970186,30,False
192.168.0.5,2025-10-24T20:34:41.970186,31,False
192.168.0.5,2025-10-24T20:34:41.970186,32,False
192.168.0.5,2025-10-24T20:34:41.970186,33,False
192.168.0.5,2025-10-24T20:34:41.970186,34,False
192.168.0.5,2025-10-24T20:34:41.970186,35,False
192.168.0.5,2025-10-24T20:34:41.970186,36,False
192.168.0.5,2025-10-24T20:34:41.970186,37,False
192.168.0.5,2025-10-24T20:34:41.970186,38,False
192.168.0.5,2025-10-24T20:34:41.970186,39,False
192.168.0.5,2025-10-24T20:34:41.970186,40,False
192.168.0.5,2025-10-24T20:34:41.970186,41,False
192.168.0.5,2025-10-24T20:34:41.970186,42,False
192.168.0.5,2025-10-24T20:34:41.970186,43,False
192.168.0.5,2025-10-24T20:34:41.970186,44,False
192.168.0.5,2025-10-24T20:34:41.970186,45,False
192.168.0.5,2025-10-24T20:34:41.970186,46,False
192.168.0.5,2025-10-24T20:34:41.970186,47,False
192.168.0.5,2025-10-24T20:34:41.970186,48,False
192.168.0.5,2025-10-24T20:34:41.970186,49,False
192.168.0.5,2025-10-24T20:34:41.970186,50,False
192.168.0.5,2025-10-24T20:34:41.970186,51,False
192.168.0.5,2025-10-24T20:34:41.970186,52,False
192.168.0.5,2025-10-24T20:34:41.970186,53,False
192.168.0.5,2025-10-24T20:34:41.970186,54,False
192.168.0.5,2025-10-24T20:34:41.970186,55,False
192.168.0.5,2025-10-24T20:34:41.970186,56,False
192.168.0.5,2025-10-24T20:34:41.970186,57,False
192.168.0.5,2025-10-24T20:34:41.970186,58,False
192.168.0.5,2025-10-24T20:34:41.970186,59,False
192.168.0.5,2025-10-24T20:34:41.970186,60,False
192.168.0.5,2025-10-24T20:34:41.970186,61,False
192.168.0.5,2025-10-24T20:34:41.970186,62,False
192.168.0.5,2025-10-24T20:34:41.970186,63,False
192.168.0.5,2025-10-24T20:34:41.970186,64,False
192.168.0.5,2025-10-24T20:34:41.970186,65,False
192.168.0.5,2025-10-24T20:34:41.970186,66,False
192.168.0.5,2025-10-24T20:34:41.970186,67,False
192.168.0.5,2025-10-24T20:34:41.970186,68,False
192.168.0.5,2025-10-24T20:34:41.970186,69,False
192.168.0.5,2025-10-24T20:34:41.970186,70,False
192.168.0.5,2025-10-24T20:34:41.970186,71,False
192.168.0.5,2025-10-24T20:34:41.970186,72,False
192.168.0.5,2025-10-24T20:34:41.970186,73,False
192.168.0.5,2025-10-24T20:34:41.970186,74,False
192.168.0.5,2025-10-24T20:34:41.970186,75,False
192.168.0.5,2025-10-24T20:34:41.970186,76,False
192.168.0.5,2025-10-24T20:34:41.970186,77,False
192.168.0.5,2025-10-24T20:34:41.970186,78,False
192.168.0.5,2025-10-24T20:34:41.970186,79,False
192.168.0.5,2025-10-24T20:34:41.970186,80,False
192.168.0.5,2025-10-24T20:34:41.970186,81,False
192.168.0.5,2025-10-24T20:34:41.970186,82,False
192.168.0.5,2025-10-24T20:34:41.970186,83,False
192.168.0.5,2025-10-24T20:34:41.970186,84,False
192.168.0.5,2025-10-24T20:34:41.970186,85,False
192.168.0.5,2025-10-24T20:34:41.970186,86,False
192.168.0.5,2025-10-24T20:34:41.970186,87,False
192.168.0.5,2025-10-24T20:34:41.970186,88,False
192.168.0.5,2025-10-24T20:34:41.970186,89,False
192.168.0.5,2025-10-24T20:34:41.970186,90,False
192.168.0.5,2025-10-24T20:34:41.970186,91,False
192.168.0.5,2025-10-24T20:34:41.970186,92,False
192.168.0.5,2025-10-24T20:34:41.970186,93,False
192.168.0.5,2025-10-24T20:34:41.970186,94,False
192.168.0.5,2025-10-24T20:34:41.970186,95,False
192.168.0.5,2025-10-24T20:34:41.970186,96,False
192.168.0.5,2025-10-24T20:34:41.970186,97,False
192.168.0.5,2025-10-24T20:34:41.970186,98,False
192.168.0.5,2025-10-24T20:34:41.970186,99,False
192.168.0.5,2025-10-24T20:34:41.970186,100,False
